"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Joint Neural Network for Session-Aware Recommendation","Y. Guo; D. Zhang; Y. Ling; H. Chen","Science and Technology on Information Systems Engineering Laboratory, National University of Defense Technology, Changsha, China; Science and Technology on Information Systems Engineering Laboratory, National University of Defense Technology, Changsha, China; Science and Technology on Information Systems Engineering Laboratory, National University of Defense Technology, Changsha, China; Science and Technology on Information Systems Engineering Laboratory, National University of Defense Technology, Changsha, China","IEEE Access","28 Apr 2020","2020","8","","74205","74215","Session-aware recommendation is a special form of sequential recommendation, where users' previous interactions before current session are available. Recently, Recurrent Neural Network (RNN) based models are widely used in sequential recommendation tasks with great success. Previous works mainly focus on the interaction sequences of the current session without analyzing a user's long-term preferences. In this paper, we propose a joint neural network (JNN) for session-aware recommendation, which employs a Convolutional Neural Network(CNN) and a RNN to process the long-term historical interactions and the short-term sequential interactions respectively. Then, we apply a fully-connected neural network to study the complex relationship between these two types of features, which aims to generate a unified representation of the current session. Finally, a recommendation score for given items is generated by a bi-linear scheme upon the session representation. We conduct our experiments on three public datasets, showing that JNN outperforms the state-of-the-art baselines on all datasets in terms of Recall and Mean Reciprocal Rank (MRR). The outperforming results indicate that proper handling of historical interactions can improve the effectiveness of recommendation. The experimental results show that JNN is more prominent in samples with short current session or long historical interactions.","2169-3536","","10.1109/ACCESS.2020.2984287","National Natural Science Foundation of China; National Advanced Research Project; Defense Industrial Technology Development Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9050712","Session-aware recommendation;sequential recommendation;recurrent neural networks;convolutional neural networks","Recurrent neural networks;Logic gates;Task analysis;Recommender systems;Music;Convolutional neural networks","convolutional neural nets;recommender systems;recurrent neural nets","mean reciprocal rank;convolutional neural network;sequential recommendation tasks;recurrent neural network based models;recommendation score;fully-connected neural network;short-term sequential interactions;long-term historical interactions;session-aware recommendation;joint neural network","","1","","44","CCBY","30 Mar 2020","","","IEEE","IEEE Journals"
"A Comparative Study of Music Recommendation Systems","A. Patel; R. Wadhvani","Department of Computer Science and Engineering, Maulana Azad National Institute of Technology, Bhopal, 462003, India; Department of Computer Science and Engineering, Maulana Azad National Institute of Technology, Bhopal, 462003, India","2018 IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)","29 Nov 2018","2018","","","1","4","Technology in the music players is developing rapidly, especially in smart phones. Nowadays users have access to millions of songs available online. Selecting favorite music among these large archives is one of the biggest problem. Every user has his own taste of music selection. Selecting music depends on the surroundings and the mood of the user. New users and new items emerge every day, and the system has to react to them promptly. The problem of personalized music recommendation that takes different kinds of auxiliary information into consideration is resource constraint due to large amount of data involvement but these models provide much accurate results so more of these are being used for commercial purpose. The main aim of the recommendation system is to recommend songs such that it is closed to the user's choice. As a comparative study, we will be analyzing the Graph-based Novelty Research On The Music Recommendation, Music Recommendation System Based on the Continuous Combination of Contextual Information, Smart-DJ: Context-aware Personalizing for Music Recommendation on Smart phones. These models are outlined to assist the users to find out the new music that is personalized. For the analysis purpose, we will be using data set provided by Douban Music.","","978-1-5386-2663-4","10.1109/SCEECS.2018.8546852","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8546852","Music Recommendation System;Novelty;Preference-directed Graph;Context-awareness;Incremental Regression Tree","Recommender systems;Music;Data models;Regression tree analysis;Smart phones;Correlation","mobile computing;music;recommender systems","music players;smart phones;music selection;personalized music recommendation;music recommendation system;Douban music;graph-based novelty research;continuous combination of contextual information","","1","","15","","29 Nov 2018","","","IEEE","IEEE Conferences"
"Incorporating Time Dynamics and Implicit Feedback into Music Recommender Systems","D. Sánchez-Moreno; Y. Zheng; M. N. Moreno-García","Dept. of Comput. & Autom., Univ. of Salamanca, Salamanca, Spain; Dept. of Inf. Technol. & Manage., Illinois Inst. of Technol., Chicago, IL, USA; Dept. of Comput. & Autom., Univ. of Salamanca, Salamanca, Spain","2018 IEEE/WIC/ACM International Conference on Web Intelligence (WI)","13 Jan 2019","2018","","","580","585","Recommender systems have been applied to several domains (e.g., online streaming, e-commerce, etc.) to assist decision making. Temporal information has been recognized and demonstrated as useful factor in improving the quality of recommendations. However, it is under investigated in the area of music recommendations. In this paper, we propose to integrate time dynamics and implicit feedback in the music recommender systems. More specifically, we develop a time-aware recommendation approach in which we produce simulated ratings by aggregating implicit feedback with time dynamics. The experimental results based on the last.fm music data demonstrate the effectiveness of our proposed approach.","","978-1-5386-7325-6","10.1109/WI.2018.00-34","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8609649","Time-aware recommender systems, implicit ratings, collaborative filtering","Recommender systems;Collaboration;Proposals;Context modeling;Adaptation models;Reliability","decision making;music;recommender systems","last.fm music data;music recommender systems;music recommendations;time dynamics;time-aware recommendation;decision making","","1","","20","","13 Jan 2019","","","IEEE","IEEE Conferences"
"Advanced IPTV Services Personalization Through Context-Aware Content Recommendation","S. Song; H. Moustafa; H. Afifi","ALTRAN Technologies, Paris, France; France Telecom R&D (Orange Labs), France; Department of Wireless Networks and Multimedia Services, Telecom & Management South Paris (Institute Telecom), Evry, France","IEEE Transactions on Multimedia","22 Nov 2012","2012","14","6","1528","1537","The advances in Internet Protocol Television (IPTV) technology enable new user-centric and interactive TV model, in which context-awareness is promising in making users' interaction with the TV dynamic and transparent. This paper considers user-centric personalized IPTV services applying context-awareness. We present a solution for enriched IPTV services personalization introducing context-awareness on top of IPTV architecture to gather different information on the user and his environment allowing each user to be distinguished by the system in a unique and real-time manner. Based on the different context information gathered, a novel solution for content recommendation is presented allowing to customize IPTV content according to the context of each user and his environment and hence guaranteeing better users' experience. We implemented the proposed solution on top of an IPTV platform considering the NGN IPTV architecture as a proof of concept and as a mean to evaluate the performance.","1941-0077","","10.1109/TMM.2012.2217118","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295668","Content recommendation;Internet Protocol Television (IPTV);Next Generation Network (NGN);personalization;quality of experience (QoE);user-centric","IPTV;Context;Next generation networking;Protocols;Real time systems;Servers","interactive television;IPTV;mobile computing;next generation networks;recommender systems","context-aware content recommendation;Internet protocol television;interactive TV model;user centric TV model;context awareness;user interaction;personalized IPTV service;context information gathering;NGN IPTV architecture","","14","","20","","5 Sep 2012","","","IEEE","IEEE Journals"
"Fuzzy Rule-Based Situational Music Retrieval and Recommendation","R. Dridi; S. Zammali; K. Arour","Nat. Sch. of Comput. Sci., Univ. of Manouba, Tunis, Tunisia; Fac. of Sci. of Tunis, Univ. Tunis El-Manar, Tunis, Tunisia; Nat. Inst. of Appl. Sci. & Technol. of Tunis, Tunis, Tunisia","2017 IEEE/ACS 14th International Conference on Computer Systems and Applications (AICCSA)","12 Mar 2018","2017","","","549","556","Recommender Systems (RS) have been used in many domains to assist users' decision making by providing item recommendations and by reducing information overload. Context-Aware Recommender System (CARS) is one RS trying to generate more convincing recommendations by taking user's context into regard. Thus, in order to adapt the recommendations to the user's context, it is useful to identify the current situation of the involved user which may influence the acceptance of a recommendation. Improving user's acceptance on recommendations is a challenging task. In recommender systems, determining the right contextual situation and finding relevant items for the user are considered as two vital issues for achieving better user acceptance. Therefore, our ultimate aim is to infer user's actual situation by fusing interacted contextual circumstances surrounding music listeners through Fuzzy Logic. Then, the inferred situation is used to recommend music from an online webradio service. We conducted a case study to assess user satisfaction in music recommendation. Experimental results reveal that the inclusion of the inferred situation increases significantly the accuracy of the recommendation, while compared to the traditional contextual recommender systems.","2161-5330","978-1-5386-3581-0","10.1109/AICCSA.2017.154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8308336","Contextual dimensions;Contextual conditions;Correlation;Contextual situation inference;Fuzzy Logic;Rule base;Music recommendations","Fuzzy logic;Recommender systems;Music;Bayes methods;Motion pictures;Context modeling;Predictive models","decision making;fuzzy logic;information retrieval;mobile computing;music;recommender systems","item recommendations;contextual situation;finding relevant items;user acceptance;user satisfaction;situational music retrieval;context-aware recommender system;fuzzy rule-based situational music retrieval;fuzzy rule-based situational music recommendation","","","","30","","12 Mar 2018","","","IEEE","IEEE Conferences"
"Music recommendation system using emotion triggering low-level features","K. Yoon; J. Lee; M. Kim","Department of Computer Science and Engineering, Konkuk University, Seoul 143-701, Korea; Department of Computer Science and Engineering, Konkuk University, Seoul 143-701, Korea; Department of Computer Science and Engineering, Konkuk University, Seoul 143-701, Korea","IEEE Transactions on Consumer Electronics","5 Jul 2012","2012","58","2","612","618","Recently, many researches of modeling or measuring human feeling have been conducted to understand human emotions. However, researches on music-related human emotions have much difficulty due to the subjective perception of emotions. We selected low-level musical features which may trigger human emotions, based on TV music program's audience rating information and the corresponding music. In this program, audience was requested to rate music of the contestants and to select their preferred music based on their emotional feelings. In addition, we implemented personalized music recommendation system using selected features, context information and listening history. In the experimental results, we confirmed that selected features can be reliable features when these features are used in music recommendation systems.","1558-4127","","10.1109/TCE.2012.6227467","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227467","Musical emotion;Low-level feature selection;Emotion triggering low-level feature;Personalized music recommendation system","Feature extraction;Training;Recommender systems;Databases;Mood;Correlation;History","behavioural sciences computing;emotion recognition;music;recommender systems","music recommendation system;emotion triggering low level features;human feeling measurement;human emotions;subjective perception;music program audience rating information;personalized music recommendation system;context information","","15","1","12","","5 Jul 2012","","","IEEE","IEEE Journals"
"The constant time of predictive algorithm for music recommendation with time context","S. Darapisut; U. Suksawatchon; J. Suksawatchon","Faculty of Informatics, Burapha University, Chonburi, 20131 Thailand; Faculty of Informatics, Burapha University, Chonburi, 20131 Thailand; Faculty of Informatics, Burapha University, Chonburi, 20131 Thailand","2015 12th International Joint Conference on Computer Science and Software Engineering (JCSSE)","27 Aug 2015","2015","","","63","68","In this research, we propose using time context to improve predictive accuracy and quality of collaborative filtering for music recommendation. We use time contextual information called micro-profiling. Thus, each user has multiple micro profiles, in particular, six-time slots instead of a single profile. The recommendation is performed depended on these micro-profiling. Our method takes into account time intervals in listening music represent user preference in up-to-date. In rating prediction approach, we adopt tendencies-based algorithm, one of the collaborative filtering algorithms, which is very low computational time and memory requirements. From the experimental results, it has shown that the performance of our approach gives more accuracy and low computational time than traditional CF and CF with matrix factorization.","","978-1-4799-1966-6","10.1109/JCSSE.2015.7219771","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7219771","music recommender system;time contexts;micro profiling;tendencies based algorithm;predictive model","Prediction algorithms;Music;Recommender systems;Measurement;Context;Accuracy;Matrix decomposition","collaborative filtering;knowledge engineering;music;recommender systems","constant time;predictive algorithm;music recommendation;collaborative filtering;time contextual information;micro-profiling;multiple micro profiles;six-time slots;music listening;user preference;tendencies-based algorithm;memory requirements;matrix factorization","","2","","10","","27 Aug 2015","","","IEEE","IEEE Conferences"
"Emotion based mood enhancing music recommendation","A. V. Iyer; V. Pasad; S. R. Sankhe; K. Prajapati","Department of Computer Engineering, K J Somaiya COE; Department of Computer Engineering, K J Somaiya COE; Department of Computer Engineering, K J Somaiya COE; Department of Computer Engineering, K J Somaiya COE","2017 2nd IEEE International Conference on Recent Trends in Electronics, Information & Communication Technology (RTEICT)","15 Jan 2018","2017","","","1573","1577","Music is one of the most effective media as it can instill deep feelings and swamp listeners with subliminal messages. It deftly plays with our emotions which in turn affect our mood. Books, movies and television dramas are a few other media but, in contrast to these, music delivers its message in mere moments. It can aid us when we are feeling low and empower us. When we listen to sad songs, we tend to feel a decline in mood. When we listen to happy songs, we feel happier. Manual classification of songs based on mood, for making of a playlist, is time consuming and labour intensive. Our paper proposes a system `EmoPlayer', an Android application, which help to minimize these efforts by suggesting the user a list of songs based on his current emotion. The system captures user's image using camera and detects his face. It then detects the emotion and makes a list of songs which will enhance his mood as the songs keep playing. EmoPlayer uses Viola Jones algorithm for face detection and Fisherfaces classifier for emotion classification.","","978-1-5090-3704-9","10.1109/RTEICT.2017.8256863","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8256863","Face Detection;Viola Jones;Haar Classifiers;Emotion Detection;Fisherfaces;OpenCV;Computer Vision","Face;Mood;Face detection;Emotion recognition;Humanoid robots;Classification algorithms;Servers","Android (operating system);emotion recognition;face recognition;image classification;music","sad songs;happy songs;EmoPlayer;Android application;Viola Jones algorithm;face detection;Fisherfaces classifier;subliminal messages;emotion based mood enhancing music recommendation;emotion classification","","","","12","","15 Jan 2018","","","IEEE","IEEE Conferences"
"User Familiar Degree Aware Recommender System","L. Yusheng; E. Haihong; S. Meina; S. Junde","Sch. of Comput. Sci., Beijing Univ. of Posts & Telecommun., Beijing, China; Sch. of Comput. Sci., Beijing Univ. of Posts & Telecommun., Beijing, China; Sch. of Comput. Sci., Beijing Univ. of Posts & Telecommun., Beijing, China; Sch. of Comput. Sci., Beijing Univ. of Posts & Telecommun., Beijing, China","2015 IEEE International Conference on Web Services","17 Aug 2015","2015","","","385","391","In a recommender system, items can be rated across multiple fields by users with varying degrees of familiarity. Hence, the ratings in a recommender system should have different recommended weights. Ratings in fields where in the user has high or low familiarity should be given high or low recommended weights, respectively. However, current recommendation algorithms ignore this problem and use the ratings indiscriminately, thus affecting the accuracy of the recommendation system. In this paper, we provide a focused study of user-familiarity degree-aware recommendation and develop a user-familiarity degree-aware latent factor model for recommendations that considers both user familiarity and item features reflected by the tagging information. We also design a user-familiarity degree-aware probability matrix factorization model, which computes the degree of familiarity of a user with the items he/she has rated. By using the user-familiarity degree, different recommended weights are given to every rating to obtain precise recommendations. The experiment results on real-world datasets show that our algorithm significantly outperforms state-of-the-art latent factor models and effectively improves the accuracy of the recommendation results.","","978-1-4673-7272-5","10.1109/ICWS.2015.58","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7195593","Recommender systems;Probability matrix factorization;User-familiar degree;Tagging information","Tagging;Recommender systems;Motion pictures;Collaboration;Mathematical model;Manganese;Training data","matrix decomposition;probability;recommender systems","user familiar degree aware recommender system;user-familiarity degree-aware latent factor model;item features;user-familiarity degree-aware probability matrix factorization model","","","","22","","17 Aug 2015","","","IEEE","IEEE Conferences"
"Emotion Profile-Based Music Recommendation","Y. H. Chin; S. H. Lin; C. H. Lin; E. Siahaan; A. Frisky; J. C. Wang","Dept. of Comput. Sci. & Inf. Eng., Nat. Central Univ., Jhongli, Taiwan; Dept. of Comput. Sci. & Inf. Eng., Nat. Central Univ., Jhongli, Taiwan; Dept. of Comput. Sci. & Inf. Eng., Nat. Central Univ., Jhongli, Taiwan; Dept. of Comput. Sci. & Inf. Eng., Nat. Central Univ., Jhongli, Taiwan; Dept. of Comput. Sci. & Inf. Eng., Nat. Central Univ., Jhongli, Taiwan; Dept. of Comput. Sci. & Inf. Eng., Nat. Central Univ., Jhongli, Taiwan","2014 7th International Conference on Ubi-Media Computing and Workshops","7 Oct 2014","2014","","","111","114","In this paper, we propose an emotion profile based music recommendation system. In the proposed algorithm, two emotion profiles are constructed using decision value in support vector machine (SVM), and based on short term and long term features respectively. The recognized emotion, emotion profile, and personal historical query results are fed into the recommendation module to generate the recommended music list.","","978-1-4799-4266-4","10.1109/U-MEDIA.2014.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6916335","Emotion profile;music emotion recognition;music recommendation system","Recommender systems;Feature extraction;Emotion recognition;Multiple signal classification;Support vector machines;Music;Databases","emotion recognition;music;recommender systems;support vector machines","emotion profile based music recommendation system;decision value;support vector machine;short term feature;long term feature;historical query;emotion recognition","","5","","25","","7 Oct 2014","","","IEEE","IEEE Conferences"
"A Temporal-Aware Hybrid Collaborative Recommendation Method for Cloud Service","S. Meng; Z. Zhou; T. Huang; D. Li; S. Wang; F. Fei; W. Wang; W. Dou","State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China; State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China; State Grid Anhui Electr. Power Co., Hefei, China; State Grid Anhui Electr. Power Co., Hefei, China; State Grid Anhui Electr. Power Co., Hefei, China; State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China; State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China; State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China","2016 IEEE International Conference on Web Services (ICWS)","1 Sep 2016","2016","","","252","259","With the rapid development of cloud computing, large scale of cloud services are provided to users. Recommender systems have been proven to be valuable tools to deal with information overload and be able to provide appropriate recommendations to users. The cloud environment is dynamic and uncertain, which makes the quality of cloud services time-sensitive. However, most existing recommender systems did not take temporal influence into consideration, therefore could not accommodate the dynamic cloud environment. In view of this challenge, we propose a temporal-aware hybrid collaborative recommendation method for cloud service. It aims at providing users with appropriate recommendations from time-sensitive cloud services. In our method, by distinguishing temporal QoS metrics from stable QoS metrics, temporal influence is integrated into classical neighborhood-based collaborative recommender algorithm. Besides, to get an optimal recommendation, a temporal-aware latent factor model based on tensor decomposition is proposed and combined to improve the recommendation performance. Finally, experiments are designed and conducted to demonstrate the efficiency of our method.","","978-1-5090-2675-3","10.1109/ICWS.2016.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7558009","collaborative recommendation;cloud service;temporal QoS;LFM;CP decomposition","Quality of service;Measurement;Cloud computing;Tensile stress;Collaboration;Computational modeling;Recommender systems","cloud computing;groupware;quality of service;recommender systems;tensors","temporal-aware hybrid collaborative recommendation method;cloud computing;recommender systems;time-sensitive cloud services;QoS metrics;neighborhood-based collaborative recommender algorithm;temporal-aware latent factor model;tensor decomposition","","8","","23","","1 Sep 2016","","","IEEE","IEEE Conferences"
"Music recommendation system based on user's sentiments extracted from social networks","R. L. Rosa; D. Z. Rodríguez; G. Bressan","Department of Computer Science and Digital Systems - University of São Paulo, Brazil; Department of Computer Science and Digital Systems - University of São Paulo, Brazil; Department of Computer Science and Digital Systems - University of São Paulo, Brazil","2015 IEEE International Conference on Consumer Electronics (ICCE)","26 Mar 2015","2015","","","383","384","This paper uses a sentiment intensity metric, named Sentimeter-Br2, to extract users' sentiments from different Social Networks. The framework of the recommendation system is shown in order to extract the users' phrases, which permit song recommendations based on the user preference or present sentiment intensity. Experimental subjective tests have shown that the metric produces satisfactory results.","2158-4001","978-1-4799-7543-3","10.1109/ICCE.2015.7066455","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7066455","","Social network services;Measurement;Dictionaries;Recommender systems;Sentiment analysis;Consumer electronics;Videos","music;recommender systems;social networking (online)","music recommendation system;user sentiment extraction;social networks;sentiment intensity metric;Sentimeter-Br2;user phrase extraction;song recommendations;user preference;sentiment intensity;subjective tests","","3","1","9","","26 Mar 2015","","","IEEE","IEEE Conferences"
"MyMusicShuffler: Mood-based music recommendation with the practical usage of brainwave signals","S. Shin; D. Jang; J. J. Lee; S. Jang; J. Kim","Smart Media Research Center, Korea Electronics Technology Institute, Gyeong-gi, Korea; Smart Media Research Center, Korea Electronics Technology Institute, Gyeong-gi, Korea; Smart Media Research Center, Korea Electronics Technology Institute, Gyeong-gi, Korea; Smart Media Research Center, Korea Electronics Technology Institute, Gyeong-gi, Korea; Department of Computer Science and Engineering, Sogang University, Seoul, Korea","2014 IEEE International Conference on Consumer Electronics (ICCE)","20 Mar 2014","2014","","","355","356","This paper proposes an automatic music service, the MyMusicShuffler, which recommends music based on received brain signals. This service is focused on eliminating the unnecessary hand interactions in multi-tasking environments. By analyzing brainwave signals, the application can select music which effectively reflects the emotional responses of the user in real time. This paper explains the implementation of the service, MyMusicShuffler, a mood-based music recommendation service which interacts with the mood status of user.","2158-4001","978-1-4799-1291-9","10.1109/ICCE.2014.6776039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6776039","Mood-based music recommendation;EEG based mood classifier;Brain machine interfaces","Electroencephalography;Mood;Recommender systems;Multiple signal classification;Real-time systems;Brain models","brain-computer interfaces;electroencephalography;emotion recognition;medical signal processing;music;recommender systems;signal classification","MyMusicShuffler;mood-based music recommendation service;brainwave signal usage;automatic music service;unnecessary hand interaction elimination;multitasking environments;brainwave signal analysis;music selection;user emotional responses;brain machine interfaces;EEG based mood classifier;electroencephalography","","3","","5","","20 Mar 2014","","","IEEE","IEEE Conferences"
"Demo paper: The BBC Desktop Jukebox music recommendation system: A large scale trial with professional users","G. Fazekas; M. Barthet; M. B. Sandler","Centre for Digital Music, Queen Mary University of London, UK; Centre for Digital Music, Queen Mary University of London, UK; Centre for Digital Music, Queen Mary University of London, UK","2013 IEEE International Conference on Multimedia and Expo Workshops (ICMEW)","3 Oct 2013","2013","","","1","2","Recommending music for professional use presents challenges that are substantially different from those faced by systems targeting recreational listeners and other classes of end users. This paper describes a trial system and survey for assessing the utility of content and metadata-based recommendation technology targeting television and radio producers. First, we briefly assess the applicability of existing recommendation technologies. We then describe the trial system and the applied recommendation methodologies used in the context of a music database exceeding one million tracks. Finally we draw conclusions from a small user study conducted with professional programme producers.","","978-1-4799-1604-7","10.1109/ICMEW.2013.6618235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6618235","Music Recommendation;Large-scale Content-based Retrieval;Radio and Television Production","Music;Recommender systems;Context;Mood;Computational modeling;TV;Databases","audio databases;content management;meta data;music;professional aspects;recommender systems;television","BBC desktop jukebox music recommendation system;professional users;recreational listeners;trial system;metadata-based recommendation technology;television producers;radio producers;music database;professional programme producers","","2","","3","","3 Oct 2013","","","IEEE","IEEE Conferences"
"A Personalized Travel Recommendation System Using Social Media Analysis","J. Coelho; P. Nitu; P. Madiraju","Dept. of Math., Stat. & Comput. Sci. Marquette, Univ. Milwaukee, Milwaukee, WI, USA; Dept. of Math., Stat. & Comput. Sci. Marquette, Univ. Milwaukee, Milwaukee, WI, USA; Dept. of Math., Stat. & Comput. Sci. Marquette, Univ. Milwaukee, Milwaukee, WI, USA","2018 IEEE International Congress on Big Data (BigData Congress)","11 Sep 2018","2018","","","260","263","Personalization of recommender systems enables customized services to users. Social media is one resource that aids personalization. This study explores the use of twitter data to personalize travel recommendations. A machine learning classification model is used to identify travel related tweets. The travel tweets are then used to personalize recommendations regarding places of interest for the user. Places of interest are categorized as: historical buildings, museums, parks, and restaurants. To better personalize the model, travel tweets of the user's friends and followers are also mined. Volunteer twitter users were asked to provide their twitter handle as well as rank their travel category preferences in a survey. We evaluated our model by comparing the predictions made by our model with the users choices in the survey. The evaluations show 68% prediction accuracy. The accuracy can be improved with a better travel-tweet training dataset as well as a better travel category identification technique using machine learning. The travel categories can be increased to include items like sports venues, musical events, entertainment, etc. and thereby fine-tune the recommendations. The proposed model lists 'n' places of interest from each category in proportion to the travel category score generated by the model.","","978-1-5386-7232-7","10.1109/BigDataCongress.2018.00046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8457762","recommender systems;social media analysis;twitter data;personalization","Social network services;Machine learning;Collaboration;Buildings;Predictive models;Recommender systems;Computational modeling","data analysis;learning (artificial intelligence);recommender systems;social networking (online);sport;travel industry","travel tweets;travel category identification technique;personalized travel recommendation system;social media analysis;recommender systems;customized services;twitter data;travel recommendations;machine learning classification","","1","","10","","11 Sep 2018","","","IEEE","IEEE Conferences"
"A Temporal and Topic-Aware Recommender Model","D. Song; L. Qin; M. Jiang; L. Liao","Sch. of Comput. Sci. & Technol., Beijing Inst. of Technol., Beijing, China; Sch. of Comput. Sci. & Technol., Beijing Inst. of Technol., Beijing, China; China merchants bank, Shenzhen, China; Sch. of Comput. Sci. & Technol., Beijing Inst. of Technol., Beijing, China","2018 IEEE International Conference on Big Data and Smart Computing (BigComp)","28 May 2018","2018","","","410","417","Individuals' interests and concerning topics are generally changing over time, with a strong impact on their behaviors in social media. Accordingly, designing an intelligent recommender system which can adapt with the temporal characters of both factors becomes a significant research task. In this paper, we suppose that users' current interests and topics are transferred from the previous time step with a Markov property. Based on this idea, we focus on designing a dynamic recommender model based on collective factorization, named Temporal and Topic-Aware Recommender Model (TTARM), which can express the transition process of both user interests and relevant topics in fine granularity. It is a hybrid recommender model which joint Collaborative Filtering (CF) and Content-based recommender method, thus can produce promising recommendations about both existing and newly published items. Experimental results on two real-life data sets from CiteULike and MovieLens demonstrate the effectiveness of our proposed model.","2375-9356","978-1-5386-3649-7","10.1109/BigComp.2018.00067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367147","Recommender System;Collaborative filtering;Matrix Factorization","Collaboration;Transmission line measurements;Recommender systems;Analytical models;Markov processes;Probabilistic logic","collaborative filtering;recommender systems","strong impact;social media;intelligent recommender system;temporal characters;significant research task;previous time step;dynamic recommender model;collective factorization;user interests;relevant topics;hybrid recommender model;Temporal and Topic-Aware Recommender Model;TTARM;Collaborative Filtering;CF;content-based recommender method;CiteULike;MovieLens","","1","","23","","28 May 2018","","","IEEE","IEEE Conferences"
"Social Distance Drives the Convergence of Preferences in an Online Music Sharing Network","L. Tran; M. Cebrian; C. Krumme; A. Pentland","Media Lab., Massachusetts Inst. of Technol., Cambridge, MA, USA; Univ. of California, San Diego, San Diego, CA, USA; Media Lab., Massachusetts Inst. of Technol., Cambridge, MA, USA; Media Lab., Massachusetts Inst. of Technol., Cambridge, MA, USA","2011 IEEE Third International Conference on Privacy, Security, Risk and Trust and 2011 IEEE Third International Conference on Social Computing","2 Jan 2012","2011","","","637","640","Music sharing websites with social network capabilities now allow us a greater insight into how people sift through cultural product choices through their relationships with others. Here, we look at the social network and listening activity on Herzio.com (http://www.herzio.com). We filter through the data and measure sharing activity based on different network features (social distance, friendship, and community structure) and one of the website's features, music recommendations. We find that social distance drives sharing, with greater sharing occurring at the beginning of a period of activity.","","978-1-4577-1931-8","10.1109/PASSAT/SocialCom.2011.195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6113186","","Communities;Social network services;Cultural differences;Convergence;Global communication;Detection algorithms;Web sites","information filtering;Internet;music;recommender systems;social networking (online)","social distance;preference convergence;online music sharing network;music sharing Websites;social network capabilities;cultural product choices;Herzio.com;data filtering;sharing activity measurement;friendship;community structure;music recommendations","","1","","9","","2 Jan 2012","","","IEEE","IEEE Conferences"
"A Recommender System for Music Less Singing Voice Signals","G. M. N. Salehin; M. Shahjahan","Khulna University of Engineering & Technology (KUET),Dept. of Electrical and Electronic Engineering; Khulna University of Engineering & Technology (KUET),Dept. of Electrical and Electronic Engineering","2019 4th International Conference on Electrical Information and Communication Technology (EICT)","16 Apr 2020","2019","","","1","4","With widespread access to internet and huge availability of music players like iPhone, Smart phone songs are now available anytime and anywhere to any people. The problem now is not the availability of songs, but to find right song for right person. Song recommendations are grouped by different aspects like melody, rhythm etc. This paper proposes a recommender system by melodic similarity of songs. Fundamental frequency of song has been extracted and a dynamic programming approach named dynamic time warping has been used to find total fundamental frequency deviation of two songs and this process is continued for all song tracks in a playlist and finally recommendations are given as ascending order of overall fundamental frequency deviation percentage. This system also can give a rhythmic rating based on how a target song deviates with respect to a reference song.","","978-1-7281-6040-5","10.1109/EICT48899.2019.9068820","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9068820","voice signal;signal processing;frequency estimation;time warping;recommendation system","Heuristic algorithms;Frequency estimation;Rocks;Recommender systems;Time-frequency analysis;Instruments;Databases","dynamic programming;music;recommender systems;smart phones","recommender system;Internet;music players;song recommendations;total fundamental frequency deviation;song tracks;fundamental frequency deviation percentage;target song deviates;reference song;smart phone songs","","","","6","","16 Apr 2020","","","IEEE","IEEE Conferences"
